iter	Passed	Remaining
405	6012	438252
406	6025	438086
407	6038	437964
408	6050	437732
409	6065	437770
410	6082	437863
411	6096	437858
412	6115	438139
413	6131	438206
414	6143	437978
415	6158	437994
416	6172	437865
417	6187	437870
418	6199	437713
419	6212	437544
420	6231	437845
421	6245	437735
422	6257	437515
423	6272	437522
424	6285	437415
425	6299	437298
426	6312	437186
427	6323	436889
428	6335	436701
429	6347	436494
430	6358	436229
431	6372	436173
432	6387	436171
433	6398	435884
434	6413	435866
435	6428	435893
436	6441	435733
437	6456	435772
438	6470	435694
439	6484	435663
440	6497	435539
441	6512	435517
442	6525	435373
443	6537	435167
444	6553	435231
445	6571	435430
446	6583	435293
447	6601	435432
448	6614	435304
449	6627	435219
450	6642	435219
451	6654	435007
452	6667	434898
453	6682	434864
454	6697	434866
455	6711	434841
456	6729	435051
457	6748	435262
458	6763	435293
459	6776	435176
460	6792	435210
461	6803	435008
462	6817	434930
463	6831	434859
464	6846	434894
465	6861	434894
466	6873	434660
467	6885	434490
468	6902	434650
469	6916	434581
470	6930	434529
471	6947	434646
472	6966	434858
473	6981	434877
474	6997	434938
475	7014	435054
476	7032	435285
477	7050	435471
478	7063	435335
479	7080	435459
480	7095	435441
481	7112	435545
482	7127	435592
483	7141	435530
484	7155	435463
485	7171	435536
486	7186	435506
487	7204	435704
488	7221	435820
489	7233	435606
490	7244	435411
491	7257	435264
492	7272	435271
493	7287	435288
494	7299	435117
495	7312	434953
496	7327	434994
497	7345	435137
498	7363	435358
499	7380	435478
500	7398	435634
501	7411	435484
502	7423	435311
503	7437	435259
504	7453	435357
505	7469	435374
506	7487	435533
507	7501	435503
508	7511	435198
509	7528	435328
510	7542	435261
511	7557	435270
512	7571	435183
513	7583	435060
514	7598	435050
515	7609	434828
516	7622	434681
517	7636	434643
518	7650	434551
519	7666	434635
520	7680	434563
521	7692	434404
522	7708	434437
523	7728	434764
524	7745	434872
525	7761	434895
526	7778	435038
527	7794	435069
528	7809	435073
529	7826	435198
530	7841	435190
531	7857	435257
532	7875	435395
533	7890	435370
534	7905	435385
535	7923	435575
536	7940	435639
537	7953	435564
538	7964	435339
539	7979	435299
540	7989	435050
541	8004	435024
542	8014	434793
543	8027	434686
544	8039	434505
545	8055	434529
546	8068	434441
547	8083	434429
548	8095	434269
549	8107	434118
550	8124	434228
551	8141	434329
552	8154	434214
553	8168	434176
554	8179	433968
555	8191	433775
556	8202	433609
557	8216	433511
558	8228	433373
559	8243	433364
560	8257	433308
561	8270	433215
562	8284	433177
563	8300	433224
564	8312	433063
565	8325	432944
566	8340	432954
567	8353	432877
568	8367	432801
569	8383	432834
570	8395	432680
571	8408	432603
572	8420	432435
573	8432	432272
574	8444	432160
575	8457	432054
576	8469	431909
577	8483	431837
578	8495	431663
579	8510	431668
580	8522	431514
581	8538	431576
582	8554	431635
583	8565	431433
584	8578	431323
585	8590	431172
586	8602	431026
587	8618	431097
588	8633	431113
589	8649	431179
590	8666	431265
591	8682	431333
592	8696	431241
593	8708	431130
594	8720	430970
595	8733	430856
596	8746	430770
597	8760	430741
598	8773	430631
599	8786	430520
600	8797	430361
601	8814	430423
602	8824	430229
603	8835	430014
604	8846	429829
605	8862	429878
606	8875	429786
607	8888	429686
608	8901	429581
609	8910	429332
610	8924	429252
611	8936	429104
612	8947	428936
613	8963	428974
614	8975	428857
615	8990	428849
616	9002	428732
617	9016	428674
618	9028	428562
619	9042	428516
620	9062	428719
621	9075	428671
622	9089	428595
623	9100	428400
624	9113	428328
625	9127	428298
626	9142	428306
627	9157	428314
628	9172	428313
629	9186	428244
630	9202	428320
631	9214	428191
632	9229	428186
633	9245	428231
634	9258	428163
635	9272	428086
636	9288	428153
637	9300	428014
638	9313	427949
639	9327	427914
640	9342	427910
641	9356	427843
642	9370	427814
643	9384	427786
644	9396	427631
645	9409	427569
646	9424	427563
647	9436	427443
648	9450	427390
649	9465	427420
650	9478	427334
651	9494	427357
652	9506	427240
653	9521	427248
654	9533	427101
655	9544	426954
656	9558	426886
657	9571	426803
658	9584	426725
659	9599	426755
660	9615	426770
661	9625	426573
662	9643	426699
663	9656	426625
664	9668	426507
665	9679	426346
666	9694	426329
667	9711	426417
668	9725	426395
669	9735	426201
670	9748	426119
671	9760	425974
672	9775	425961
673	9789	425935
674	9803	425911
675	9816	425823
676	9829	425736
677	9841	425612
678	9857	425666
679	9871	425624
680	9882	425483
681	9892	425255
682	9909	425343
683	9923	425329
684	9935	425214
685	9949	425147
686	9964	425168
687	9980	425202
688	9994	425186
689	10007	425109
690	10022	425108
691	10039	425214
692	10053	425147
693	10068	425153
694	10083	425178
695	10095	425040
696	10106	424898
697	10122	424930
698	10136	424917
699	10150	424880
700	10164	424819
701	10178	424791
702	10193	424804
703	10205	424686
704	10219	424634
705	10230	424498
706	10242	424359
707	10257	424383
708	10269	424266
709	10285	424309
710	10296	424135
711	10309	424070
712	10320	423918
713	10331	423776
714	10346	423764
715	10358	423661
716	10372	423609
717	10383	423448
718	10398	423483
719	10411	423410
720	10425	423385
721	10436	423228
722	10452	423244
723	10466	423244
724	10480	423199
725	10493	423117
726	10506	423050
727	10517	422887
728	10534	422991
729	10552	423115
730	10582	423728
731	10599	423810
732	10627	424335
733	10644	424412
734	10659	424427
735	10674	424439
736	10690	424462
737	10704	424426
738	10717	424348
739	10732	424349
740	10747	424382
741	10765	424496
742	10782	424589
743	10795	424503
744	10808	424418
745	10827	424595
746	10845	424727
747	10860	424717
748	10876	424757
749	10890	424732
750	10902	424635
751	10914	424505
752	10927	424441
753	10942	424428
754	10957	424451
755	10970	424375
756	10984	424325
757	11000	424386
758	11017	424475
759	11033	424496
760	11049	424554
761	11061	424431
762	11080	424572
763	11096	424631
764	11113	424713
765	11129	424758
766	11140	424592
767	11152	424505
768	11165	424406
769	11181	424479
770	11192	424309
771	11206	424272
772	11219	424212
773	11232	424152
774	11244	424019
775	11257	423971
776	11274	424024
777	11288	423987
778	11299	423854
779	11316	423916
780	11329	423845
781	11342	423795
782	11359	423878
783	11376	423947
784	11388	423842
785	11402	423809
786	11416	423773
787	11432	423800
